simulation_file,IndividualId,QuantityPath,Cmax_Value,Tmax_Value,AUCtend_Value,AUCtinf_Value,Thalf_Value,Cmax_Unit,Tmax_Unit,AUCtend_Unit,AUCtinf_Unit,Thalf_Unit
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|MMAE|Concentration in container,0.00124915,38.5,10.9697895,22.771267,163.20035,µmol/l,h,µmol*min/l,µmol*min/l,h
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|MMAE|totalMMAE,4.0536485,0.05,10143.459,13039.061,82.87331,µmol/l,h,µmol*min/l,µmol*min/l,h
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|MMAE|totalMMAEtumor,0.05241134,27.75,387.66656,611.7761,111.7165,µmol/l,h,µmol*min/l,µmol*min/l,h
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|MMAE|freeMMAEtumor,0.016789632,58,142.09685,314.56796,166.37523,µmol/l,h,µmol*min/l,µmol*min/l,h
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|TvcMMAE|conjugatedMMAE,4.0533776,0.05,10132.489,13019.073,82.78657,µmol/l,h,µmol*min/l,µmol*min/l,h
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|TvcMMAE|conjugatedMMAEtumor,0.039162964,19.75,245.51323,325.65326,82.68443,µmol/l,h,µmol*min/l,µmol*min/l,h
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|Tumor|nAb|totalmAbtumor,0.015080707,27.5,127.06332,339.86636,246.47897,µmol/l,h,µmol*min/l,µmol*min/l,h
Mouse TvcMMAE 10 mg_kg with TMDD and Tumor.pkml,0,Organism|VenousBlood|Plasma|nAb|totalmAb,1.3520001,0.05,5358.1562,13603.165,247.05595,µmol/l,h,µmol*min/l,µmol*min/l,h
